volume dryweight
5 0.8
1201 2.2
108936 87.5
105000          94.4
1060            4.2
1036            0.5
33907           67.7
48500           72.4
314             0.6
1400            3.9
46200           87.7
76800           86.8
24000           57.6
1575            0.5
9788            20.7
5650            15.1
17731           26.5
38059           9.3
1753            3.4
70300           107.6
62000           42.3
369             1.0
4100            6.9
177500          205.5
91000           120.9
2025            5.5
80              1.3
54800           110.3
51000           26
55              3.4
1605            3.4
15262           32.1
1362            1.5
57176           85.1
25000           50.5 
